,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.8765639305114745,0.3347933173832742,0.1153627872467041,0.01857982495549093,1e-15,"OrderedDict([('model__alpha', 1e-15)])",0.6378169375130914,0.6400282857201889,0.5321955294922518,0.6478437272994599,0.5670223469951536,0.6049813654040291,0.04665256364782772,5
1,1.8501555919647217,0.3628515542196439,0.11171140670776367,0.02148641560737948,1,"OrderedDict([('model__alpha', 1)])",0.6378250438062666,0.6400495787255465,0.532204732228077,0.6478579739437167,0.5669568354173092,0.6049788328241832,0.04666731948909625,19
2,1.8290217876434327,0.31421207197058,0.10045642852783203,0.01751070314923716,0.3,"OrderedDict([('model__alpha', 0.3)])",0.6378195250708185,0.6400314536819793,0.5321991091739897,0.64784804480646,0.5670026188357581,0.6049801503138011,0.04665629138076513,17
3,1.8126757621765137,0.3499333653160703,0.11098718643188477,0.018701958982001866,0.5,"OrderedDict([('model__alpha', 0.5)])",0.6378211879447528,0.6400318785470072,0.5322009645000805,0.6478509495307553,0.5669894418991814,0.6049788844843554,0.04665868972839599,18
4,1.8121013164520263,0.35987600966355476,0.1131941795349121,0.026773561863219348,1,"OrderedDict([('model__alpha', 1)])",0.6378250438062666,0.6400495787255465,0.532204732228077,0.6478579739437167,0.5669568354173092,0.6049788328241832,0.04666731948909625,19
5,1.948032760620117,0.4317904078921178,0.13843445777893065,0.028771665049072165,0.4,"OrderedDict([('model__alpha', 0.4)])",0.6378203566630759,0.6400381255850758,0.5322001324887096,0.6478494728331573,0.5669960108170979,0.6049808196774233,0.04665842998245493,14
6,1.8226757049560547,0.37807921867453104,0.10347447395324708,0.019943386759011927,0.001,"OrderedDict([('model__alpha', 0.001)])",0.6378171850327123,0.6400282928091463,0.5321955058405894,0.6478435246575667,0.567022314263071,0.6049813645206171,0.04665257502649393,6
7,1.8146484375,0.3490727309353731,0.10589194297790527,0.019173588024000918,0.01,"OrderedDict([('model__alpha', 0.01)])",0.6378168635990671,0.6400272921632248,0.5321955684239217,0.6478441826101914,0.5670217080119624,0.6049811229616735,0.04665257946573747,9
8,1.809884786605835,0.3274702038000239,0.10856294631958008,0.019270166119511125,0.05,"OrderedDict([('model__alpha', 0.05)])",0.6378173934821194,0.6400293548610014,0.5321963337596374,0.6478444743028903,0.5670190800527588,0.6049813272916815,0.046653206427759976,7
9,1.9969083786010742,0.3741527835714286,0.11225295066833496,0.013922214554602037,0.4,"OrderedDict([('model__alpha', 0.4)])",0.6378203566630759,0.6400381255850758,0.5322001324887096,0.6478494728331573,0.5669960108170979,0.6049808196774233,0.04665842998245493,14
10,1.8904503345489503,0.3911315118655179,0.1304335594177246,0.004815934333131945,1e-12,"OrderedDict([('model__alpha', 1e-12)])",0.6378169248633578,0.6400264599348726,0.5321953948387109,0.6478437477297831,0.5670223768140117,0.6049809808361472,0.046652328472424516,12
11,2.3973429203033447,0.5574899850773664,0.16393017768859863,0.03154301320094274,1e-05,"OrderedDict([('model__alpha', 1e-05)])",0.6378169574740655,0.6400297136618032,0.5321955709675492,0.6478438140780622,0.5670223709457167,0.6049816854254393,0.0466527801101838,4
12,2.172459030151367,0.46785872789487803,0.18406405448913574,0.018377539264127208,0.1,"OrderedDict([('model__alpha', 0.1)])",0.6378177461214234,0.640031295468825,0.532196806708565,0.6478448674826731,0.5670157972608549,0.6049813026084683,0.046654006592185444,8
13,2.394405698776245,0.5713883713589695,0.21843442916870118,0.04697937583927293,1e-10,"OrderedDict([('model__alpha', 1e-10)])",0.637877950859108,0.6400284118528874,0.5321955087279944,0.6478439835683611,0.5670223537821935,0.6049936417581089,0.04666122925324545,1
14,2.602169370651245,0.3635755173048117,0.09832267761230469,0.016973233408077597,0.2,"OrderedDict([('model__alpha', 0.2)])",0.6378187036937522,0.640032256794226,0.5321979785062159,0.6478466437261132,0.5670092059978898,0.6049809577436395,0.0466553194315116,13
15,1.8201435089111329,0.3101459642826998,0.09880146980285645,0.009152475782198695,0.08,"OrderedDict([('model__alpha', 0.08)])",0.6378174406052324,0.640029115316417,0.5321965589694754,0.6478448608782097,0.5670171085981729,0.6049810168735015,0.0466534986785226,11
16,1.898639154434204,0.38075436957179415,0.10582056045532226,0.010417925201236406,1e-10,"OrderedDict([('model__alpha', 1e-10)])",0.637877950859108,0.6400284118528874,0.5321955087279944,0.6478439835683611,0.5670223537821935,0.6049936417581089,0.04666122925324545,1
17,1.9085216045379638,0.3556918131844567,0.11171479225158691,0.015462507052174107,1e-10,"OrderedDict([('model__alpha', 1e-10)])",0.637877950859108,0.6400284118528874,0.5321955087279944,0.6478439835683611,0.5670223537821935,0.6049936417581089,0.04666122925324545,1
18,1.9625858306884765,0.4385362999615247,0.15836629867553711,0.01447083625780992,0.4,"OrderedDict([('model__alpha', 0.4)])",0.6378203566630759,0.6400381255850758,0.5322001324887096,0.6478494728331573,0.5669960108170979,0.6049808196774233,0.04665842998245493,14
19,2.5517661571502686,0.6078115567381862,0.21598634719848633,0.024218409931558403,0.01,"OrderedDict([('model__alpha', 0.01)])",0.6378168635990671,0.6400272921632248,0.5321955684239217,0.6478441826101914,0.5670217080119624,0.6049811229616735,0.04665257946573747,9
