,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,143.14862880706787,7.627058563631535,0.12777266502380372,0.015158679779739915,1e-10,"OrderedDict([('model__alpha', 1e-10)])",0.6378871499043909,0.6400350863767819,0.5322913813023857,0.64783919,0.5670054836110701,0.6050116582500437,0.046635489,1
1,155.7373950958252,8.676538953330729,0.11910572052001953,0.015584461316589896,0.0001,"OrderedDict([('model__alpha', 0.0001)])",0.637887176,0.6400351075793813,0.5322913996980346,0.6478392097528328,0.5670053482227819,0.6050116483475799,0.046635515,15
2,200.1514091014862,14.261247157320396,0.22185592651367186,0.030719714,1e-05,"OrderedDict([('model__alpha', 1e-05)])",0.6378871525648856,0.6400350884971187,0.532291383,0.6478391920253912,0.5670054700759006,0.6050116572610691,0.046635491191379656,13
3,157.7243531227112,9.676634788756813,0.10527443885803223,0.016566888,0.0001,"OrderedDict([('model__alpha', 0.0001)])",0.637887176,0.6400351075793813,0.5322913996980346,0.6478392097528328,0.5670053482227819,0.6050116483475799,0.046635515,15
4,184.89296197891235,13.699915300399978,0.19043469429016113,0.016623971250454145,0.0001,"OrderedDict([('model__alpha', 0.0001)])",0.637887176,0.6400351075793813,0.5322913996980346,0.6478392097528328,0.5670053482227819,0.6050116483475799,0.046635515,15
5,158.50031008720399,14.459598529180633,0.23012247085571289,0.025668865022507852,0.0001,"OrderedDict([('model__alpha', 0.0001)])",0.637887176,0.6400351075793813,0.5322913996980346,0.6478392097528328,0.5670053482227819,0.6050116483475799,0.046635515,15
6,208.60581068992616,13.830528778986166,0.2201401710510254,0.034708892,1e-08,"OrderedDict([('model__alpha', 1e-08)])",0.6378871499070251,0.6400350863788811,0.5322913813042067,0.6478391900575403,0.5670054835976706,0.6050116582490647,0.046635489,3
7,212.94161520004272,14.03331855538601,0.21610875129699708,0.022846507447799022,1e-08,"OrderedDict([('model__alpha', 1e-08)])",0.6378871499070251,0.6400350863788811,0.5322913813042067,0.6478391900575403,0.5670054835976706,0.6050116582490647,0.046635489,3
8,199.2675898551941,13.826147764192784,0.20610103607177735,0.022511962,1e-06,"OrderedDict([('model__alpha', 1e-06)])",0.6378871501704411,0.6400350865887974,0.5322913814863368,0.6478391902525535,0.5670054822577102,0.6050116581511678,0.046635488772359374,10
9,209.25167999267578,9.480153260381455,0.12042346000671386,0.048026765,0.0001,"OrderedDict([('model__alpha', 0.0001)])",0.637887176,0.6400351075793813,0.5322913996980346,0.6478392097528328,0.5670053482227819,0.6050116483475799,0.046635515,15
10,179.48939929008483,7.444898151478523,0.11258435249328613,0.005897951,1e-06,"OrderedDict([('model__alpha', 1e-06)])",0.6378871501704411,0.6400350865887974,0.5322913814863368,0.6478391902525535,0.5670054822577102,0.6050116581511678,0.046635488772359374,10
11,208.80288457870483,12.298326126675244,0.11999387741088867,0.041418591,1e-08,"OrderedDict([('model__alpha', 1e-08)])",0.6378871499070251,0.6400350863788811,0.5322913813042067,0.6478391900575403,0.5670054835976706,0.6050116582490647,0.046635489,3
12,147.2756487,8.595481204,0.12639646530151366,0.016618403984791127,1e-08,"OrderedDict([('model__alpha', 1e-08)])",0.6378871499070251,0.6400350863788811,0.5322913813042067,0.6478391900575403,0.5670054835976706,0.6050116582490647,0.046635489,3
13,190.0940930366516,6.368227480345256,0.093964577,0.010938414534462327,1e-08,"OrderedDict([('model__alpha', 1e-08)])",0.6378871499070251,0.6400350863788811,0.5322913813042067,0.6478391900575403,0.5670054835976706,0.6050116582490647,0.046635489,3
14,134.91249885559083,7.480573275580172,0.12529230117797852,0.00696274,1e-06,"OrderedDict([('model__alpha', 1e-06)])",0.6378871501704411,0.6400350865887974,0.5322913814863368,0.6478391902525535,0.5670054822577102,0.6050116581511678,0.046635488772359374,10
15,203.21495356559754,13.793566611101962,0.24232301712036133,0.021535448100949036,1e-05,"OrderedDict([('model__alpha', 1e-05)])",0.6378871525648856,0.6400350884971187,0.532291383,0.6478391920253912,0.5670054700759006,0.6050116572610691,0.046635491191379656,13
16,163.34335741996765,8.600444058,0.13722901344299315,0.013799426462414496,1e-08,"OrderedDict([('model__alpha', 1e-08)])",0.6378871499070251,0.6400350863788811,0.5322913813042067,0.6478391900575403,0.5670054835976706,0.6050116582490647,0.046635489,3
17,145.5178044319153,7.805252210040322,0.125014591,0.027462233,1e-10,"OrderedDict([('model__alpha', 1e-10)])",0.6378871499043909,0.6400350863767819,0.5322913813023857,0.64783919,0.5670054836110701,0.6050116582500437,0.046635489,1
18,148.21879463195802,8.784733742147601,0.14409708976745605,0.015750696639772875,0.0001,"OrderedDict([('model__alpha', 0.0001)])",0.637887176,0.6400351075793813,0.5322913996980346,0.6478392097528328,0.5670053482227819,0.6050116483475799,0.046635515,15
19,145.03230862617494,8.614880091,0.12080578804016114,0.016643842,1e-08,"OrderedDict([('model__alpha', 1e-08)])",0.6378871499070251,0.6400350863788811,0.5322913813042067,0.6478391900575403,0.5670054835976706,0.6050116582490647,0.046635489,3
